;ID;Year_Birth;Education;Marital_Status; Income ;Kidhome;Teenhome;Dt_Customer;Recency;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;AcceptedCmp1;AcceptedCmp2;Response;Complain;Country
51;1402;1954;Master;Married;$66,991.00 ;0;0;9/11/12;1;49600;3600;46000;18900;6000;1200;3;1;12;6;1;0;0;0;0;0;0;0;GER
53;1619;1956;Graduation;Married;$90,369.00 ;0;0;4/28/14;2;29200;5100;98100;22400;2300;1700;1;1;9;6;0;0;0;0;0;0;1;0;SP
55;1857;1952;Graduation;Single;$47,139.00 ;1;1;3/6/14;2;4600;0;1200;0;200;2300;2;1;2;2;2;0;0;0;0;0;1;0;SP
58;10286;1962;Graduation;Married;$83,715.00 ;0;0;2/3/14;2;31800;800;40700;15000;3500;800;1;1;12;13;0;0;0;0;0;0;0;0;SA
59;1992;1964;Graduation;Married;$60,597.00 ;0;1;1/1/14;2;52200;0;25700;3200;1600;6600;4;1;3;8;2;0;0;0;1;0;1;0;SP
61;10623;1961;Master;Together;$48,330.00 ;0;1;11/15/13;2;2800;0;400;0;0;0;1;0;0;3;2;0;0;0;0;0;0;0;SP
62;4867;1968;PhD;Single;$38,236.00 ;1;1;9/20/13;2;5800;0;1800;200;0;1000;4;1;0;4;2;0;0;0;0;0;0;0;SP
66;4405;1956;Master;Married;$63,915.00 ;0;2;7/30/13;2;62200;700;11500;3000;0;1500;2;2;5;12;2;0;0;0;0;0;0;0;AUS
67;5332;1960;2n Cycle;Married;$82,504.00 ;0;0;7/27/13;2;36200;5000;43100;13400;3500;5400;1;1;9;7;0;0;0;0;0;0;0;0;IND
71;5341;1962;2n Cycle;Divorced;$81,975.00 ;0;1;1/5/13;2;98300;7600;18400;18000;13800;2700;1;2;5;4;2;0;0;1;0;0;0;0;SA
73;3887;1970;Graduation;Single;$27,242.00 ;1;0;11/11/12;2;300;1700;2600;2000;100;3900;2;0;0;3;2;0;0;0;0;0;1;0;IND
75;9999;1965;Graduation;Together;$75,276.00 ;0;0;9/27/12;2;61000;10500;12500;13700;4200;2100;1;2;6;9;1;0;0;0;0;0;0;0;SP
76;10352;1963;Graduation;Widow;$34,213.00 ;1;1;9/7/12;2;5000;400;2800;600;300;2600;3;1;2;2;2;0;0;0;0;0;1;0;SA
78;4114;1964;Master;Married;$79,143.00 ;0;0;8/11/12;2;65000;3700;78000;2700;16700;3200;1;2;14;13;1;0;0;0;0;0;0;0;AUS
79;7990;1947;Graduation;Married;$27,469.00 ;0;0;8/2/12;2;900;100;200;300;200;0;1;0;0;3;2;0;0;0;0;0;0;0;CA
80;9888;1969;Graduation;Together;$68,695.00 ;0;0;6/25/14;3;45800;8100;35600;10600;5000;4000;1;1;6;7;1;0;0;0;0;0;0;0;SP
81;4399;1969;Graduation;Together;$68,695.00 ;0;0;6/25/14;3;45800;8100;35600;10600;5000;4000;1;1;6;7;1;0;0;0;0;0;0;0;CA
82;4452;1957;Graduation;Single;$50,388.00 ;0;1;5/28/14;3;29200;600;3700;0;300;3400;4;2;2;6;2;0;1;0;1;0;1;0;GER
83;4785;1970;PhD;Together;$77,622.00 ;0;2;4/14/14;3;52000;700;15400;1900;0;1400;2;2;5;11;1;0;0;0;0;0;0;0;SA
84;8461;1962;Graduation;Divorced;$46,102.00 ;2;1;3/10/14;3;1400;0;100;0;0;100;1;0;0;2;2;0;0;0;0;0;0;0;SP
88;158;1945;PhD;Together;$71,604.00 ;0;0;11/17/13;3;34500;5300;52800;9800;7500;9700;1;3;5;5;1;1;0;0;0;0;1;0;SP
91;4002;1960;PhD;Married;$77,037.00 ;0;1;10/13/13;3;46300;9600;33300;16800;5300;1000;1;2;11;12;1;0;0;0;0;0;0;0;SP
92;10914;1970;Graduation;Single;$24,163.00 ;1;1;10/12/13;3;400;100;700;200;100;200;2;0;0;3;1;0;0;0;0;0;0;0;SP
93;7279;1969;PhD;Together;$69,476.00 ;0;0;9/30/13;3;26000;8600;55900;6300;900;6700;1;1;9;4;0;0;0;0;0;0;0;0;US
95;4470;1962;Master;Married;$58,646.00 ;0;1;6/10/13;3;6200;100;4400;600;500;2200;1;1;2;4;1;0;0;0;0;0;0;0;SP
96;6183;1962;Master;Married;$58,646.00 ;0;1;6/10/13;3;6200;100;4400;600;500;2200;1;0;2;4;1;0;0;0;0;0;0;0;GER
97;6379;1949;Master;Widow;$47,570.00 ;1;1;5/29/13;3;6700;100;2000;0;200;3100;3;0;3;2;2;0;0;0;0;0;1;0;US
99;4827;1956;PhD;Single;$54,998.00 ;0;1;3/10/13;3;15400;2200;20200;3900;3000;800;5;1;3;9;1;0;0;0;0;0;1;0;SP
100;6715;1948;PhD;Single;$60,200.00 ;0;1;1/2/13;3;50200;1900;13200;0;600;2600;6;2;3;11;2;0;0;0;0;0;0;0;SP
105;4491;1949;Master;Married;$62,845.00 ;1;1;10/1/12;3;109900;0;4500;0;0;3400;11;1;6;10;3;0;1;0;0;0;0;0;SP
106;873;1949;Master;Married;$62,845.00 ;1;1;10/1/12;3;109900;0;4500;0;0;3400;11;1;6;10;3;0;1;0;0;0;1;0;SP
107;1631;1965;PhD;Together;$65,220.00 ;0;0;9/3/12;3;89000;6300;29200;0;2500;1200;4;3;6;7;2;0;0;0;0;0;1;0;GER
110;254;1955;Graduation;Together;$53,863.00 ;0;1;5/17/14;4;39900;400;3000;600;400;3000;3;2;2;7;2;0;1;0;0;0;0;0;SP
111;1349;1970;Graduation;Married;$50,447.00 ;2;0;4/21/14;4;8500;700;2400;200;300;2700;1;1;2;3;2;0;0;0;0;0;0;0;IND
112;2534;1953;Graduation;Married;$37,716.00 ;0;1;4/21/14;4;9700;100;4100;600;200;4100;2;1;2;3;2;0;0;0;0;0;0;0;AUS
115;3799;1955;Graduation;Married;$67,225.00 ;0;1;11/26/13;4;31500;3500;32200;4600;700;14300;3;2;3;11;2;0;0;0;0;0;0;0;US
118;9504;1949;Master;Married;$81,698.00 ;0;0;11/6/13;4;17900;2800;52000;11100;12300;4700;1;1;12;13;0;0;0;0;0;0;1;0;SP
119;850;1968;Graduation;Single;$70,566.00 ;0;1;10/6/13;4;38100;2800;21500;8400;2800;2100;2;2;8;9;1;0;0;0;0;0;0;0;SP
120;4477;1958;Graduation;Together;$69,096.00 ;0;1;9/27/13;4;24700;4900;15900;700;8200;10900;1;1;3;10;1;0;0;0;0;0;0;0;GER
121;1945;1962;Graduation;Married;$71,434.00 ;0;1;9/18/13;4;71100;3600;21700;17200;9600;16800;3;2;6;7;1;0;1;0;1;0;0;0;SP
124;10832;1958;Graduation;Together;$46,610.00 ;0;0;7/18/13;4;28800;1000;3000;400;1000;12500;1;2;2;6;2;0;0;0;0;0;0;0;SP
125;3025;1958;Graduation;Single;$49,967.00 ;0;1;7/8/13;4;21200;600;6900;400;1200;300;3;2;2;5;2;0;0;0;0;0;0;0;CA
128;8755;1946;Master;Married;$68,657.00 ;0;0;2/20/13;4;48200;3400;47100;11900;6800;2200;1;1;8;9;2;0;0;0;0;0;0;0;AUS
129;10177;1954;Graduation;Divorced;$72,071.00 ;0;1;2/14/13;4;53100;6900;30000;15000;13800;15000;3;2;6;8;1;0;0;0;0;0;0;0;SP
130;2429;1954;Graduation;Divorced;$72,071.00 ;0;1;2/14/13;4;53100;6900;30000;15000;13800;15000;3;2;6;8;1;0;0;0;0;0;0;0;CA
131;8920;1967;Master;Single;$59,235.00 ;1;0;1/12/13;4;44800;4000;46900;8000;0;9100;3;4;3;12;2;0;0;0;0;0;0;0;IND
132;8430;1957;Graduation;Together;$21,994.00 ;0;1;12/24/12;4;900;0;600;300;100;300;1;0;0;3;1;0;0;0;0;0;0;0;AUS
133;8619;1957;Graduation;Together;$21,994.00 ;0;1;12/24/12;4;900;0;600;300;100;300;1;0;0;3;1;0;0;0;0;0;0;0;SP
134;8996;1957;PhD;Married;;2;1;11/19/12;4;23000;4200;19200;4900;3700;5300;12;2;3;8;2;0;0;0;0;0;0;0;GER
140;2261;1969;Graduation;Married;$26,304.00 ;1;0;6/23/13;5;400;100;500;200;0;400;1;0;0;2;2;0;0;0;0;0;0;0;GER
148;10356;1957;PhD;Divorced;$41,437.00 ;1;1;9/22/12;5;2900;0;200;0;0;100;1;0;0;3;2;0;0;0;0;0;0;0;SP
149;9323;1949;Master;Together;$49,912.00 ;0;1;9/7/12;5;52000;800;22300;3200;4900;4200;4;3;8;7;3;1;0;0;0;0;1;0;ME
150;1146;1949;Master;Together;$49,912.00 ;0;1;9/7/12;5;52000;800;22300;3200;4900;4200;4;3;8;7;3;1;0;0;0;0;1;0;AUS
151;6343;1959;Graduation;Married;$79,823.00 ;0;1;3/31/14;6;83500;7300;38000;11400;7300;4300;1;2;14;7;0;0;1;0;0;0;0;0;AUS
152;8545;1954;Graduation;Divorced;$85,683.00 ;0;0;3/21/14;6;129600;1700;31100;4500;6900;5100;1;1;6;10;0;0;1;1;1;1;1;0;SP
153;8275;1965;PhD;Divorced;$47,025.00 ;1;1;2/9/14;6;1600;0;300;0;0;100;1;0;0;2;2;0;0;0;0;0;0;0;SP
161;10451;1965;Graduation;Together;$29,672.00 ;1;1;3/12/13;6;900;100;300;0;400;800;1;0;0;3;2;0;0;0;0;0;0;0;SA
162;4198;1965;Graduation;Together;$29,672.00 ;1;1;3/12/13;6;900;100;300;0;400;800;1;0;0;3;2;0;0;0;0;0;0;0;SP
163;10814;1947;Graduation;Together;$70,321.00 ;0;0;1/16/13;6;30300;2300;75100;8200;2600;19100;1;2;8;13;1;0;0;0;0;0;1;0;SP
164;944;1962;Graduation;Married;$56,181.00 ;0;1;1/8/13;6;12100;10300;6900;800;4400;4800;1;1;3;7;1;0;0;0;0;0;0;0;SP
166;6184;1969;PhD;Married;$68,462.00 ;0;0;12/12/12;6;56100;6400;78500;8400;12800;4800;1;1;5;8;0;0;0;0;0;0;0;0;SP
169;7342;1961;2n Cycle;Widow;$59,184.00 ;0;1;9/9/12;6;34100;14200;11300;25900;15100;6600;3;2;9;12;1;0;0;0;0;0;0;0;SP
171;10862;1960;Master;Married;$30,522.00 ;0;1;8/17/12;6;17900;800;8300;1900;1100;2600;5;0;3;9;1;0;0;0;0;0;0;0;SP
180;10905;1955;Graduation;Together;$42,586.00 ;1;1;10/29/12;7;19400;200;5600;0;0;0;5;1;2;6;2;0;0;0;0;0;1;0;SP
181;8910;1955;Graduation;Together;$42,586.00 ;1;1;10/29/12;7;19400;200;5600;0;0;0;5;1;2;6;2;0;0;0;0;0;1;0;SP
185;7408;1952;PhD;Married;$54,549.00 ;0;1;3/3/14;8;21600;200;600;0;0;900;2;1;2;4;2;0;0;0;0;0;0;0;SA
187;8235;1956;Master;Together;$69,245.00 ;0;1;1/24/14;8;42800;3000;21400;8000;3000;6100;2;2;8;10;1;0;0;0;0;0;0;0;SA
188;10949;1963;PhD;Divorced;$72,968.00 ;0;0;12/16/13;8;109200;3700;59200;14500;3700;5500;1;2;8;8;1;0;0;0;1;0;1;0;SP
189;7284;1953;Graduation;Married;$48,686.00 ;1;2;12/4/13;8;1000;0;700;200;0;100;1;0;0;2;2;0;0;0;0;0;0;0;SP
191;9930;1944;PhD;Single;$82,716.00 ;0;0;11/5/13;8;60600;14800;22800;1500;14800;2200;1;2;12;13;1;0;0;0;0;0;0;0;CA
194;5519;1956;Graduation;Together;$64,090.00 ;0;1;8/7/13;8;31600;5800;16100;7600;5100;13500;1;2;14;4;1;0;0;0;0;0;1;0;SA
195;232;1965;Graduation;Single;$61,559.00 ;0;1;7/17/13;8;27900;8300;8800;3200;1400;3400;1;1;3;10;1;0;0;0;0;0;0;0;SP
196;3009;1962;PhD;Widow;$71,670.00 ;0;0;7/9/13;8;146200;1600;12800;0;0;16000;1;2;5;6;2;0;1;1;0;1;1;0;SP
197;6518;1951;PhD;Widow;$67,680.00 ;0;1;6/11/13;8;54600;0;4800;0;600;600;1;2;5;8;2;0;0;0;0;0;0;0;AUS
199;5682;1953;PhD;Single;$64,108.00 ;0;1;3/23/13;8;94800;1000;8600;1300;2100;2100;4;2;14;11;2;0;0;0;0;0;0;0;AUS
200;1570;1951;PhD;Together;$69,702.00 ;0;1;2/19/13;8;66400;900;24000;5000;1900;5700;2;2;11;10;1;0;0;0;0;0;0;0;SP
201;1497;1952;Graduation;Single;$47,958.00 ;0;1;1/19/13;8;26800;1100;8800;1500;300;2200;2;2;5;5;1;0;0;0;0;0;0;0;SA
202;9723;1960;Graduation;Married;$67,716.00 ;0;1;1/10/13;8;53000;14200;21700;6200;900;5600;4;2;6;13;2;0;1;0;0;0;0;0;CA
205;5621;1969;Graduation;Married;$48,752.00 ;1;1;12/12/12;8;7300;5700;10000;7100;1500;0;5;2;2;5;3;0;0;0;0;0;1;0;SP
207;7373;1952;PhD;Divorced;$46,610.00 ;0;2;10/29/12;8;9600;1200;9600;3300;2200;4300;6;1;2;6;2;0;0;0;0;0;1;0;AUS
209;263;1945;PhD;Single;$45,576.00 ;0;0;5/28/14;9;5600;1900;2900;200;1400;2500;1;1;2;3;3;0;0;0;0;0;1;0;SP
210;4619;1945;PhD;Single;$113,734.00 ;0;0;5/28/14;9;600;200;300;100;26200;300;0;7;0;0;0;0;0;0;0;0;0;0;SP
214;1463;1958;Graduation;Single;$45,160.00 ;1;1;3/29/14;9;800;200;500;300;0;300;1;0;0;2;2;0;0;0;0;0;0;0;AUS
216;8233;1950;Master;Widow;$64,866.00 ;0;1;1/26/14;9;50800;500;2100;700;500;1000;4;2;5;7;1;0;1;0;0;0;0;0;CA
218;10855;1968;Master;Single;$50,014.00 ;1;0;1/22/14;9;23400;1400;7700;1900;1000;4200;2;1;2;8;2;0;0;0;0;0;0;0;SP
219;10909;1948;Graduation;Married;$92,344.00 ;0;0;1/15/14;9;99200;2400;69400;5100;1900;11900;0;2;15;5;0;1;0;1;0;0;0;0;AUS
220;3376;1970;Master;Divorced;$55,282.00 ;1;0;12/13/13;9;12500;600;7300;800;400;1900;1;1;2;6;1;0;0;0;0;0;0;0;SP
221;10232;1963;PhD;Divorced;$48,799.00 ;0;1;11/5/13;9;17400;1800;8100;2800;600;2400;3;1;3;7;1;0;0;0;0;0;0;0;SP
226;8897;1965;Graduation;Single;$42,720.00 ;1;1;4/24/13;9;39200;500;9100;2800;2600;11200;8;2;5;7;2;0;0;0;0;0;1;0;GER
227;466;1944;Graduation;Married;$65,275.00 ;0;0;4/3/13;9;38800;1400;21800;9100;1400;2100;1;1;5;13;1;0;0;0;0;0;0;0;SP
228;11025;1961;Graduation;Married;$36,443.00 ;1;1;2/3/13;9;6500;0;4600;400;300;2000;4;1;2;3;2;0;0;0;0;0;0;0;SP
229;2387;1952;Master;Together;$43,776.00 ;1;1;2/3/13;9;17700;200;7100;300;200;2000;6;2;3;4;3;0;0;0;0;0;1;0;SA
230;1618;1965;Graduation;Together;$56,046.00 ;0;0;1/2/13;9;57700;0;6400;0;0;5100;2;2;2;8;3;1;0;0;0;0;1;0;GER
231;25;1958;Graduation;Married;$65,148.00 ;0;1;11/16/12;9;46000;3500;42200;3300;1200;15300;2;2;9;7;1;0;0;0;0;0;0;0;CA
232;3277;1955;Graduation;Divorced;$49,431.00 ;0;1;8/3/12;9;21900;300;10000;2600;0;1700;2;2;2;5;2;0;0;0;0;0;0;0;SP
233;8566;1961;PhD;Together;$32,583.00 ;1;1;6/15/14;10;500;0;300;0;0;100;1;0;0;2;2;0;0;0;0;0;0;0;SP
236;8159;1968;Graduation;Married;$51,287.00 ;1;1;4/1/14;10;11700;0;2200;1300;0;3000;3;1;2;3;2;0;0;0;0;0;0;0;SP
238;9597;1969;Graduation;Married;$73,448.00 ;0;0;2/10/14;10;23600;10600;18900;2300;4100;13000;1;2;3;9;1;0;0;0;0;0;0;0;CA
240;10150;1961;Graduation;Single;$86,429.00 ;0;0;11/21/13;10;46400;2800;87300;2900;1800;3700;0;2;6;7;1;0;0;0;1;0;1;0;SA
243;8026;1952;Graduation;Married;$62,998.00 ;0;1;9/30/13;10;12000;5800;7300;6500;8900;5800;5;2;6;5;2;0;0;0;0;0;0;0;CA
246;5429;1948;PhD;Married;$45,579.00 ;0;1;8/20/13;10;14500;100;3300;200;100;100;1;1;2;4;2;0;0;0;0;0;0;0;SP
247;977;1957;Graduation;Together;$47,320.00 ;0;1;8/1/13;10;20000;1900;11100;5000;1500;1900;6;2;2;8;2;0;0;0;0;0;0;0;CA
251;2632;1954;Graduation;Married;$50,501.00 ;1;1;6/18/13;10;29700;0;3800;1300;0;15200;7;2;6;4;2;1;0;0;0;0;1;0;IND
252;6404;1969;Graduation;Together;$58,917.00 ;1;2;3/24/13;10;15100;700;8900;0;700;2800;5;1;2;6;2;0;0;0;0;0;0;0;SA
253;10240;1949;Graduation;Together;$69,372.00 ;0;0;2/19/13;10;99700;2600;26900;3400;1300;4200;1;3;6;6;1;0;1;1;0;0;1;0;CA
256;7381;1968;Graduation;Divorced;$75,693.00 ;0;0;12/6/12;10;79700;15300;29300;7200;9700;3000;1;4;6;6;1;0;1;1;1;0;1;0;SP
260;10281;1970;Graduation;Divorced;$64,713.00 ;1;0;2/7/14;11;18000;6000;24100;1300;5400;5400;2;1;8;7;1;0;0;0;0;0;1;0;AUS
263;2552;1955;PhD;Single;$55,521.00 ;1;2;10/22/13;11;41600;0;2600;0;0;400;9;2;5;6;2;0;1;0;0;0;1;0;SP
264;6720;1968;Master;Together;$43,795.00 ;0;1;10/16/13;11;31400;1100;5300;400;300;10700;3;2;5;4;2;0;1;0;0;0;1;0;SP
265;4557;1970;Graduation;Together;$22,070.00 ;1;0;10/4/13;11;1000;700;1900;800;200;2100;2;0;3;2;2;0;0;0;0;0;0;0;SA
266;1183;1949;Master;Married;$36,408.00 ;1;1;9/21/13;11;900;100;400;300;200;300;1;0;0;2;2;0;0;0;0;0;0;0;GER
267;4186;1950;Graduation;Together;$34,026.00 ;1;1;8/5/13;11;1800;600;1500;1200;800;1700;3;0;2;3;2;0;0;0;0;0;0;0;CA
268;1419;1950;Graduation;Together;$34,026.00 ;1;1;8/5/13;11;1800;600;1500;1200;800;1700;3;1;2;3;1;0;0;0;0;0;0;0;SP
272;3427;1955;PhD;Married;$59,821.00 ;0;1;4/12/13;11;62900;0;7000;0;0;3500;6;3;3;7;3;0;0;0;0;0;0;0;SA
274;8911;1967;PhD;Married;$56,320.00 ;0;1;4/8/13;11;20100;5300;17200;11600;7700;8300;3;2;6;9;1;0;0;0;0;0;0;0;SP
275;6606;1969;Master;Married;$70,091.00 ;1;0;3/31/13;11;96400;3400;13700;1500;0;1100;2;2;3;10;2;0;1;0;0;0;0;0;SP
276;2677;1956;Graduation;Together;$46,097.00 ;0;1;3/31/13;11;7200;2400;6800;6500;400;800;5;1;2;6;1;0;0;0;0;0;0;0;SA
277;252;1963;PhD;Divorced;$41,003.00 ;0;0;3/17/13;11;12300;13300;14200;7100;4400;8800;1;2;3;8;2;0;0;0;0;0;0;0;SA
278;9860;1959;Graduation;Together;$44,911.00 ;0;1;3/15/13;11;15900;0;2200;200;100;3100;3;1;2;4;2;0;0;0;0;0;0;0;SP
281;7494;1950;PhD;Divorced;$42,873.00 ;1;1;1/21/13;11;20900;0;4000;300;200;1500;4;2;2;4;3;0;0;0;0;0;0;0;CA
282;10490;1969;PhD;Married;$51,039.00 ;1;1;12/10/12;11;10000;6400;7900;6500;0;10900;2;2;3;4;2;0;0;0;0;0;0;0;AUS
283;3403;1958;PhD;Together;$78,952.00 ;0;1;9/24/12;11;117000;1900;59400;9900;7600;13400;2;1;8;12;2;0;0;0;0;0;0;0;SP
284;2715;1966;Master;Divorced;$29,435.00 ;1;1;8/6/12;11;7000;300;3700;400;200;6400;4;1;3;2;3;0;0;0;0;0;1;0;CA
285;4828;1954;Graduation;Divorced;$79,865.00 ;0;1;6/18/14;12;7100;9900;27800;18500;12100;3800;1;2;15;5;0;0;0;0;0;0;0;0;SA
288;11176;1970;PhD;Together;$65,968.00 ;0;1;5/12/14;12;37600;900;8300;1900;400;400;2;1;6;7;1;0;0;0;0;0;0;0;CA
289;1446;1956;Master;Single;$86,424.00 ;0;0;4/5/14;12;38700;6800;56900;8900;4500;6800;1;2;14;12;0;0;0;0;0;0;0;0;SA
290;9699;1966;Graduation;Divorced;$67,272.00 ;0;1;12/21/13;12;35700;3500;27100;2800;2800;1400;3;2;3;12;1;0;0;0;0;0;0;0;SP
291;9790;1957;Graduation;Single;$78,499.00 ;0;0;11/23/13;12;91200;7200;17000;4700;3600;9700;1;4;5;4;1;0;0;1;0;0;1;0;CA
295;7849;1970;PhD;Married;$80,336.00 ;0;0;9/9/13;12;20900;1900;45600;16000;14200;6600;1;1;14;13;0;0;0;0;0;0;0;0;SP
296;4808;1956;Graduation;Married;$15,759.00 ;0;0;9/5/13;12;100;200;500;600;0;300;1;0;0;2;2;0;0;0;0;0;0;0;SP
306;3547;1969;Master;Together;$41,021.00 ;1;0;12/30/12;12;1400;700;900;600;1600;1200;2;0;0;3;2;0;0;0;0;0;1;0;SA
307;8707;1956;Graduation;Married;$79,456.00 ;0;0;8/22/12;12;56500;4200;54800;6400;8300;9900;1;2;9;4;1;0;0;0;0;0;1;0;SP
309;6271;1952;PhD;Married;$50,870.00 ;0;1;6/19/14;13;5300;0;800;0;0;200;1;0;0;3;2;0;0;0;0;0;0;0;SP
311;9727;1957;Graduation;Married;$23,539.00 ;0;0;2/28/14;13;400;2400;1100;1600;100;2500;1;1;0;4;2;0;0;0;0;0;0;0;CA
312;6205;1967;Master;Single;$32,557.00 ;1;0;2/24/14;13;3400;300;2900;0;400;1000;3;0;2;3;2;0;0;0;0;0;1;0;CA
313;10681;1970;2n Cycle;Married;$62,466.00 ;0;1;1/15/14;13;12900;12900;25900;16800;12100;8300;5;2;5;12;1;0;0;0;0;0;0;0;SP
314;5156;1970;2n Cycle;Married;$62,466.00 ;0;1;1/15/14;13;12900;12900;25900;16800;12100;8300;5;2;5;12;1;0;0;0;0;0;0;0;SP
315;3050;1966;Graduation;Married;$54,198.00 ;1;1;12/17/13;13;18500;0;2800;300;200;1700;6;1;2;6;1;0;0;0;0;0;0;0;SP
317;5626;1964;PhD;Single;$61,798.00 ;0;0;11/23/13;13;33800;400;8900;1100;800;1300;1;1;3;9;1;0;0;0;0;0;0;0;SP
